index,x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),yai4_max(V),lambda(nm),freq(THz)
85,116.7047,0.113,-0.0006791483852297275,2.0851614770271698e-05,-0.0057822601318605615,,,780.2402776279071,384.2309434619698
86,116.7162,0.1123,-0.0005923885732631723,7.6114267368240784e-06,-0.005838992758484429,,,780.2402883255814,384.23093819387793
88,116.7389,0.1131,-0.0006185235531204619,-1.8523553120465552e-05,-0.005750978030168108,,,780.2403094418605,384.2309277951231
89,116.7509,0.1133,-0.0006323394015031875,6.766059849680484e-05,-0.005710177292732155,,,780.2403206046512,384.2309222979842
90,116.7615,0.1134,-0.0006445434009079293,5.545659909206302e-05,-0.005762469974663786,,,780.2403304651164,384.2309174421783
91,116.7731,0.1139,-0.0006578987210112269,4.210127898876537e-05,-0.005719695928475599,,,780.240341255814,384.2309121282776
92,116.7841,0.1134,-0.0006705632486953689,2.943675130462342e-05,-0.005673961919159309,,,780.2403514883722,384.230907089234
93,116.7946,0.1131,-0.0006826521160302607,1.7347883969731637e-05,-0.005725761273902841,,,780.240361255814,384.2309022792379
94,116.8099,0.1132,-0.0006002673227182356,-2.673227182392601e-07,-0.005701240333672086,,,780.2403754883721,384.2308952703868
95,116.8199,0.1143,-0.0006117805297038217,-1.1780529703825371e-05,-0.005450573052475427,,,780.2403847906977,384.23089068943847
96,116.8314,0.1131,-0.0006250207177372694,-2.502071773727299e-05,-0.005507305679099295,,,780.2403954883722,384.23088542134803
98,116.8551,0.1141,-0.0006523070182931148,4.769298170688441e-05,-0.004824224222663209,,,780.2404175348838,384.2308745645012
99,116.867,0.1144,-0.0006660077346059903,3.39922653940089e-05,-0.0045829301580393444,,,780.2404286046512,384.2308691131733
100,116.8779,0.1145,-0.0006785571302202822,2.144286977971699e-05,-0.004136702821534943,,,780.2404387441861,384.23086411994035
101,116.8882,0.1141,-0.0005904157334154711,9.58426658452527e-06,-0.0038875155219024182,,,780.2404483255815,384.2308594015643
102,116.8991,0.1136,-0.000602965129029763,-2.9651290297666444e-06,-0.0039412881853981285,,,780.2404584651164,384.2308544083316
103,116.9146,0.1137,-0.000620810599857434,-2.0810599857437606e-05,-0.003717753899543319,,,780.2404728837209,384.23084730786326
104,116.923,0.1134,-0.0006304816937253363,-3.048169372533993e-05,-0.0037591933833381885,,,780.2404806976745,384.23084345986763
106,116.9471,0.1127,-0.0006582285225606374,4.1771477439361826e-05,-0.0036780852356543825,,,780.2405031162791,384.23083241978526
107,116.9601,0.1132,-0.0006731956916419188,2.6804308358080453e-05,-0.0037422177700986436,,,780.2405152093024,384.2308264645544
108,116.9728,0.1133,-0.0006878174645136223,1.2182535486376933e-05,-0.003804870322979048,,,780.2405270232558,384.2308206467522
109,116.9844,0.1138,-0.000601172784616924,-1.172784616920719e-06,-0.0037620962767908606,,,780.2405378139536,384.23081533285415
110,116.9955,0.1142,-0.0006139524443709438,-1.3952444370940453e-05,-0.0036168555946626824,,,780.2405481395349,384.23081024800365
111,117.0085,0.1143,-0.0006289196134522251,-2.8919613452221826e-05,-0.0035809881291069545,,,780.2405602325582,384.2308042927735
112,117.0204,0.1139,-0.0006426203297650729,-4.2620329765069576e-05,-0.003539694064483012,,,780.2405713023256,384.2307988414476
113,117.0315,0.1139,-0.0006553999895190926,-5.539998951908931e-05,-0.0034944533823546564,,,780.240581627907,384.2307937565975
115,117.0557,0.1132,-0.0005832619504242409,1.6738049575755476e-05,-0.0035138385618589396,,,780.240604139535,384.23078267070855
116,117.0667,0.1138,-0.0005959264781084106,4.073521891585774e-06,-0.003968104552542651,,,780.2406143720931,384.23077763166833
117,117.0782,0.1136,-0.0006091666661418305,-9.16666614183409e-06,-0.004524837179166519,,,780.2406250697675,384.230772363581
